,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
0,gas,convertible,2548.0,four,130,111,21,27,13495
1,gas,convertible,48.8,dohc,four,9.00,5000,21,27
2,gas,hatchback,2823.0,six,152,154,19,26,16500
3,gas,sedan,2337.0,four,109,102,24,30,13950
4,gas,sedan,2824.0,five,136,115,18,22,17450
5,gas,sedan,2507.0,five,136,110,19,25,15250
6,gas,sedan,2844.0,five,136,110,19,25,17710
7,gas,wagon,2954.0,five,136,110,19,25,18920
8,gas,sedan,3086.0,five,131,140,17,20,23875
9,gas,hatchback,3053.0,five,131,160,16,22,?
10,gas,sedan,2395.0,four,108,101,23,29,16430
11,gas,sedan,2395.0,four,108,101,23,29,16925
12,gas,sedan,2710.0,six,164,121,21,28,20970
13,gas,sedan,2765.0,six,164,121,21,28,21105
14,gas,sedan,3055.0,six,164,121,20,25,24565
15,gas,sedan,3230.0,six,209,182,16,22,30760
16,gas,sedan,3380.0,six,209,182,16,22,41315
17,gas,sedan,3505.0,six,209,182,15,20,36880
18,gas,hatchback,1488.0,three,61,48,47,53,5151
19,gas,hatchback,1874.0,four,90,70,38,43,6295
20,gas,sedan,1909.0,four,90,70,38,43,6575
21,gas,hatchback,1876.0,four,90,68,37,41,5572
22,gas,hatchback,1876.0,four,90,68,31,38,6377
23,gas,hatchback,2128.0,four,98,102,24,30,7957
24,gas,hatchback,1967.0,four,90,68,31,38,6229
25,gas,sedan,1989.0,four,90,68,31,38,6692
26,gas,sedan,1989.0,four,90,68,31,38,7609
27,gas,sedan,2191.0,four,98,102,24,30,8558
28,gas,wagon,2535.0,four,122,88,24,30,8921
29,gas,hatchback,2811.0,four,156,145,19,24,12964
30,gas,hatchback,1713.0,four,92,58,49,54,6479
31,gas,hatchback,1819.0,four,92,76,31,38,6855
32,gas,hatchback,1837.0,four,79,60,38,42,5399
33,gas,hatchback,1940.0,four,92,76,30,34,6529
34,gas,hatchback,1956.0,four,92,76,30,34,7129
35,gas,sedan,2010.0,four,92,76,30,34,7295
36,gas,wagon,2024.0,four,92,76,30,34,7295
37,gas,hatchback,2236.0,four,110,86,27,33,7895
38,gas,hatchback,2289.0,four,110,86,27,33,9095
39,gas,sedan,2304.0,four,110,86,27,33,8845
40,gas,sedan,2372.0,four,110,86,27,33,10295
41,gas,sedan,2465.0,four,110,101,24,28,12945
42,gas,sedan,2293.0,four,110,100,25,31,10345
43,gas,sedan,2337.0,four,111,78,24,29,6785
44,gas,sedan,1874.0,four,90,70,38,43,?
45,gas,sedan,1909.0,four,90,70,38,43,?
46,gas,hatchback,2734.0,four,119,90,24,29,11048
47,gas,sedan,4066.0,six,258,176,15,19,32250
48,gas,sedan,4066.0,six,258,176,15,19,35550
49,gas,sedan,3950.0,twelve,326,262,13,17,36000
50,gas,hatchback,1890.0,four,91,68,30,31,5195
51,gas,hatchback,1900.0,four,91,68,31,38,6095
52,gas,hatchback,1905.0,four,91,68,31,38,6795
53,gas,sedan,1945.0,four,91,68,31,38,6695
54,gas,sedan,1950.0,four,91,68,31,38,7395
55,gas,hatchback,2380.0,two,70,101,17,23,10945
56,gas,hatchback,2380.0,two,70,101,17,23,11845
57,gas,hatchback,2385.0,two,70,101,17,23,13645
58,gas,hatchback,2500.0,two,80,135,16,23,15645
59,gas,hatchback,2385.0,four,122,84,26,32,8845
60,gas,sedan,2410.0,four,122,84,26,32,8495
61,gas,hatchback,2385.0,four,122,84,26,32,10595
62,gas,sedan,2410.0,four,122,84,26,32,10245
63,diesel,sedan,2443.0,four,122,64,36,42,10795
64,gas,hatchback,2425.0,four,122,84,26,32,11245
65,gas,sedan,2670.0,four,140,120,19,27,18280
66,diesel,sedan,2700.0,four,134,72,31,39,18344
67,diesel,sedan,3515.0,five,183,123,22,25,25552
68,diesel,wagon,3750.0,five,183,123,22,25,28248
69,diesel,hardtop,3495.0,five,183,123,22,25,28176
70,diesel,sedan,3770.0,five,183,123,22,25,31600
71,gas,sedan,3740.0,eight,234,155,16,18,34184
72,gas,convertible,3685.0,eight,234,155,16,18,35056
73,gas,sedan,3900.0,eight,308,184,14,16,40960
74,gas,hardtop,3715.0,eight,304,184,14,16,45400
75,gas,hatchback,2910.0,four,140,175,19,24,16503
76,gas,hatchback,1918.0,four,92,68,37,41,5389
77,gas,hatchback,1944.0,four,92,68,31,38,6189
78,gas,hatchback,2004.0,four,92,68,31,38,6669
79,gas,hatchback,2145.0,four,98,102,24,30,7689
80,gas,hatchback,2370.0,four,110,116,23,30,9959
81,gas,hatchback,2328.0,four,122,88,25,32,8499
82,gas,hatchback,2833.0,four,156,145,19,24,12629
83,gas,hatchback,2921.0,four,156,145,19,24,14869
84,gas,hatchback,2926.0,four,156,145,19,24,14489
85,gas,sedan,2365.0,four,122,88,25,32,6989
86,gas,sedan,2405.0,four,122,88,25,32,8189
87,gas,sedan,2403.0,four,110,116,23,30,9279
88,gas,sedan,2403.0,four,110,116,23,30,9279
89,gas,sedan,1889.0,four,97,69,31,37,5499
90,diesel,sedan,2017.0,four,103,55,45,50,7099
91,gas,sedan,1918.0,four,97,69,31,37,6649
92,gas,sedan,1938.0,four,97,69,31,37,6849
93,gas,wagon,2024.0,four,97,69,31,37,7349
94,gas,sedan,1951.0,four,97,69,31,37,7299
95,gas,hatchback,2028.0,four,97,69,31,37,7799
96,gas,sedan,1971.0,four,97,69,31,37,7499
97,gas,wagon,2037.0,four,97,69,31,37,7999
98,gas,hardtop,2008.0,four,97,69,31,37,8249
99,gas,hatchback,2324.0,four,120,97,27,34,8949
100,gas,sedan,2302.0,four,120,97,27,34,9549
101,gas,sedan,3095.0,six,181,152,17,22,13499
102,gas,wagon,3296.0,six,181,152,17,22,14399
103,gas,sedan,3060.0,six,181,152,19,25,13499
104,gas,hatchback,3071.0,six,181,160,19,25,17199
105,gas,hatchback,3139.0,six,181,200,17,23,19699
106,gas,hatchback,3139.0,six,181,160,19,25,18399
107,gas,sedan,3020.0,four,120,97,19,24,11900
108,diesel,sedan,3197.0,four,152,95,28,33,13200
109,gas,wagon,3230.0,four,120,97,19,24,12440
110,diesel,wagon,3430.0,four,152,95,25,25,13860
111,gas,sedan,3075.0,four,120,95,19,24,15580
112,diesel,sedan,3252.0,four,152,95,28,33,16900
113,gas,wagon,3285.0,four,120,95,19,24,16695
114,diesel,wagon,3485.0,four,152,95,25,25,17075
115,gas,sedan,3075.0,four,120,97,19,24,16630
116,diesel,sedan,3252.0,four,152,95,28,33,17950
117,gas,sedan,3130.0,four,134,142,18,24,18150
118,gas,hatchback,1918.0,four,90,68,37,41,5572
119,gas,hatchback,2128.0,four,98,102,24,30,7957
120,gas,hatchback,1967.0,four,90,68,31,38,6229
121,gas,sedan,1989.0,four,90,68,31,38,6692
122,gas,sedan,2191.0,four,98,68,31,38,7609
123,gas,wagon,2535.0,four,122,88,24,30,8921
124,gas,hatchback,2818.0,four,156,145,19,24,12764
125,gas,hatchback,2778.0,four,151,143,19,27,22018
126,gas,hardtop,2756.0,six,194,207,17,25,32528
127,gas,hardtop,2756.0,six,194,207,17,25,34028
128,gas,convertible,2800.0,six,194,207,17,25,37028
129,gas,hatchback,3366.0,eight,203,288,17,28,?
130,gas,wagon,2579.0,four,132,?,23,31,9295
131,gas,hatchback,2460.0,four,132,?,23,31,9895
132,gas,hatchback,2658.0,four,121,110,21,28,11850
133,gas,sedan,2695.0,four,121,110,21,28,12170
134,gas,hatchback,2707.0,four,121,110,21,28,15040
135,gas,sedan,2758.0,four,121,110,21,28,15510
136,gas,hatchback,2808.0,four,121,160,19,26,18150
137,gas,sedan,2847.0,four,121,160,19,26,18620
138,gas,hatchback,2050.0,four,97,69,31,36,5118
139,gas,hatchback,2120.0,four,108,73,26,31,7053
140,gas,hatchback,2240.0,four,108,73,26,31,7603
141,gas,sedan,2145.0,four,108,82,32,37,7126
142,gas,sedan,2190.0,four,108,82,28,33,7775
143,gas,sedan,2340.0,four,108,94,26,32,9960
144,gas,sedan,2385.0,four,108,82,24,25,9233
145,gas,sedan,2510.0,four,108,111,24,29,11259
146,gas,wagon,2290.0,four,108,82,28,32,7463
147,gas,wagon,2455.0,four,108,94,25,31,10198
148,gas,wagon,2420.0,four,108,82,23,29,8013
149,gas,wagon,2650.0,four,108,111,23,23,11694
150,gas,hatchback,1985.0,four,92,62,35,39,5348
151,gas,hatchback,2040.0,four,92,62,31,38,6338
152,gas,hatchback,2015.0,four,92,62,31,38,6488
153,gas,wagon,2280.0,four,92,62,31,37,6918
154,gas,wagon,2290.0,four,92,62,27,32,7898
155,gas,wagon,3110.0,four,92,62,27,32,8778
156,gas,sedan,2081.0,four,98,70,30,37,6938
157,gas,hatchback,2109.0,four,98,70,30,37,7198
158,diesel,sedan,2275.0,four,110,56,34,36,7898
159,diesel,hatchback,2275.0,four,110,56,38,47,7788
160,gas,sedan,2094.0,four,98,70,38,47,7738
161,gas,hatchback,2122.0,four,98,70,28,34,8358
162,gas,sedan,2140.0,four,98,70,28,34,9258
163,gas,sedan,2169.0,four,98,70,29,34,8058
164,gas,hatchback,2204.0,four,98,70,29,34,8238
165,gas,sedan,2265.0,four,98,112,26,29,9298
166,gas,hatchback,2300.0,four,98,112,26,29,9538
167,gas,hardtop,2540.0,four,146,116,24,30,8449
168,gas,hardtop,2536.0,four,146,116,24,30,9639
169,gas,hatchback,2551.0,four,146,116,24,30,9989
170,gas,hardtop,2679.0,four,146,116,24,30,11199
171,gas,hatchback,2714.0,four,146,116,24,30,11549
172,gas,convertible,2975.0,four,146,116,24,30,17669
173,gas,sedan,2326.0,four,122,92,29,34,8948
174,diesel,sedan,2480.0,four,110,73,30,33,10698
175,gas,hatchback,2414.0,four,122,92,27,32,9988
176,gas,sedan,2414.0,four,122,92,27,32,10898
177,gas,hatchback,2458.0,four,122,92,27,32,11248
178,gas,hatchback,2976.0,six,171,161,20,24,16558
179,gas,hatchback,3016.0,six,171,161,19,24,15998
180,gas,sedan,3131.0,six,171,156,20,24,15690
181,gas,wagon,3151.0,six,161,156,19,24,15750
182,diesel,sedan,2261.0,four,97,52,37,46,7775
183,gas,sedan,2209.0,four,109,85,27,34,7975
184,diesel,sedan,2264.0,four,97,52,37,46,7995
185,gas,sedan,2212.0,four,109,85,27,34,8195
186,gas,sedan,2275.0,four,109,85,27,34,8495
187,diesel,sedan,2319.0,four,97,68,37,42,9495
188,gas,sedan,2300.0,four,109,100,26,32,9995
189,gas,convertible,2254.0,four,109,90,24,29,11595
190,gas,hatchback,2221.0,four,109,90,24,29,9980
191,gas,sedan,2661.0,five,136,110,19,24,13295
192,diesel,sedan,2579.0,four,97,68,33,38,13845
193,gas,wagon,2563.0,four,109,88,25,31,12290
194,gas,sedan,2912.0,four,141,114,23,28,12940
195,gas,wagon,3034.0,four,141,114,23,28,13415
196,gas,sedan,2935.0,four,141,114,24,28,15985
197,gas,wagon,3042.0,four,141,114,24,28,16515
198,gas,sedan,3045.0,four,130,162,17,22,18420
199,gas,wagon,3157.0,four,130,162,17,22,18950
200,gas,sedan,2952.0,four,141,114,23,28,16845
201,gas,sedan,3049.0,four,141,160,19,25,19045
202,gas,sedan,3012.0,six,173,134,18,23,21485
203,diesel,sedan,3217.0,six,145,106,26,27,22470
204,gas,sedan,3062.0,four,141,114,19,25,22625
